date;pre;pet;sol
20/08/2006;0;3.970279;592.1
21/08/2006;3.6;3.970279;592.1
22/08/2006;0.2;3.970279;592.1
23/08/2006;3.4;3.970279;592.1
24/08/2006;0.2;3.970279;592.1
25/08/2006;0;3.970279;592.1
26/08/2006;0;3.970279;592.1
27/08/2006;0.4;3.970279;592.1
28/08/2006;0;3.970279;592.1
29/08/2006;0.2;3.970279;592.1
30/08/2006;0;3.970279;592.1
31/08/2006;0;3.970279;592.1
01/09/2006;0;3.970279;592.1
02/09/2006;0;3.970279;592.1
03/09/2006;2.2;3.970279;592.1
04/09/2006;0;3.970279;592.1
05/09/2006;0;3.970279;592.1
06/09/2006;0;3.970279;592.1
07/09/2006;0;3.970279;592.1
08/09/2006;0;3.970279;592.1
09/09/2006;0;3.970279;592.1
10/09/2006;2;3.970279;592.1
11/09/2006;0;3.970279;592.1
12/09/2006;0.8;3.970279;592.1
13/09/2006;0.6;3.970279;592.1
14/09/2006;2.8;3.970279;592.1
15/09/2006;9;3.970279;592.1
16/09/2006;0.4;3.970279;592.1
17/09/2006;2.2;3.970279;592.1
18/09/2006;0;3.970279;592.1
19/09/2006;0;3.970279;592.1
20/09/2006;0;3.970279;592.1
21/09/2006;0;3.970279;592.1
22/09/2006;0;3.970279;592.1
23/09/2006;0;3.970279;592.1
24/09/2006;0;3.970279;592.1
25/09/2006;0;3.970279;592.1
26/09/2006;0;3.970279;592.1
27/09/2006;0;3.970279;592.1
28/09/2006;0;3.970279;592.1
29/09/2006;0;3.970279;592.1
30/09/2006;0;3.970279;592.1
01/10/2006;0;3.970279;592.1
02/10/2006;0;3.970279;592.1
03/10/2006;0;3.970279;592.1
04/10/2006;0;3.970279;592.1
05/10/2006;0;3.970279;592.1
06/10/2006;0;3.970279;592.1
07/10/2006;0;3.970279;592.1
08/10/2006;0;3.970279;592.1
09/10/2006;1.4;3.970279;592.1
10/10/2006;0.2;3.970279;592.1
11/10/2006;2;3.970279;592.1
12/10/2006;0;3.970279;592.1
13/10/2006;0;3.970279;592.1
14/10/2006;0;3.970279;592.1
15/10/2006;0;3.970279;592.1
16/10/2006;0;3.970279;592.1
17/10/2006;2.2;3.970279;592.1
18/10/2006;0;3.970279;592.1
19/10/2006;0.2;3.970279;592.1
20/10/2006;0;3.970279;592.1
21/10/2006;0;3.970279;592.1
22/10/2006;9.2;3.970279;592.1
23/10/2006;0;3.970279;592.1
24/10/2006;0;3.970279;592.1
25/10/2006;0;3.970279;592.1
26/10/2006;0.4;3.970279;592.1
27/10/2006;2.2;3.970279;592.1
28/10/2006;2.6;3.970279;592.1
29/10/2006;0;3.970279;592.1
30/10/2006;16.2;3.970279;592.1
31/10/2006;23;3.970279;592.1
01/11/2006;14.4;3.970279;592.1
02/11/2006;0;3.970279;592.1
03/11/2006;0.2;3.970279;592.1
04/11/2006;0.4;3.970279;592.1
05/11/2006;13.8;3.970279;592.1
06/11/2006;22.2;3.970279;592.1
07/11/2006;4;3.970279;592.1
08/11/2006;0.6;3.970279;592.1
09/11/2006;4;3.970279;592.1
10/11/2006;3.2;3.970279;592.1
11/11/2006;0.2;3.970279;592.1
12/11/2006;0;3.970279;592.1
13/11/2006;0.2;3.970279;592.1
14/11/2006;0;3.970279;592.1
15/11/2006;0;3.970279;592.1
16/11/2006;0;3.970279;592.1
17/11/2006;0;3.970279;592.1
18/11/2006;0;3.970279;592.1
19/11/2006;0;3.970279;592.1
